pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed	affixal/non-affixal	negative affix	positive affix	direct/indirect	subtype
gloved	gloveless	a	gloved%3:00:00::	gloveless%3:00:00::	having the hands covered with gloves	devoid of gloves	no	affixal	-less	NA	indirect	LAC
grassy	grassless	a	grassy%3:00:00::	grassless%3:00:00::	abounding in grass	lacking grass	no	affixal	-less	NA	indirect	LAC
gutsy	gutless	a	gutsy%3:00:00::	gutless%3:00:00::	"marked by courage and determination in the face of difficulties or danger; robust and uninhibited; it was a gutsy thing to do"""	lacking courage or vitality	no	affixal	-less	NA	indirect	LAC
hatted	hatless	a	hatted%3:00:00::	hatless%3:00:00::	wearing a hat or a hat of a particular kind	not wearing a hat	no	affixal	-less	NA	indirect	LAC
headed	headless	a	headed%3:00:01::	headless%3:00:00::	"having a head of a specified kind or anything that serves as a head; often used in combination"	not having a head or formed without a head	no	affixal	-less	NA	indirect	LAC
heedless	heedful	a	heedless%3:00:00::	heedful%3:00:00::	"marked by or paying little heed or attention; we know now that it is bad economics""--Franklin D. Roosevelt"	"taking heed; giving close and thoughtful attention"	no	affixal	-less	NA	indirect	LAC
hipped	hipless	a	hipped%3:00:00::	hipless%3:00:00::	"having hips; or having hips as specified (usually in combination)"	having or seeming to have no hips	no	affixal	-less	NA	indirect	LAC
humorous	humorless	a	humorous%3:00:00::	humorless%3:00:00::	full of or characterized by humor	"lacking humor; a wink of warning""- Truman Capote"	no	affixal	-less	NA	indirect	LAC
jawed	jawless	a	jawed%3:00:00::	jawless%3:00:00::	of animals having jaws of a specified type	of animals having no jaw	no	affixal	-less	NA	indirect	LAC
juicy	juiceless	a	juicy%3:00:00::	juiceless%3:00:00::	full of juice	lacking juice	no	affixal	-less	NA	indirect	LAC
landed	landless	a	landed%3:00:00::	landless%3:00:00::	owning or consisting of land or real estate	owning no land	no	affixal	-less	NA	indirect	LAC
lossy	lossless	a	lossy%3:00:00::	lossless%3:00:00::	characterized by or causing dissipation of energy	characterized by or causing no dissipation of energy	no	affixal	-less	NA	indirect	LAC
meaty	meatless	a	meaty%3:00:00::	meatless%3:00:00::	"like or containing meat; let's have a meaty meal"""	lacking meat	no	affixal	-less	NA	indirect	LAC
odorous	odorless	a	odorous%3:00:00::	odorless%3:00:00::	having odor or a characteristic odor	having no odor	no	affixal	-less	NA	indirect	LAC
puncturable	punctureless	a	puncturable%3:00:00::	punctureless%3:00:00::	capable of being punctured	being without punctures or incapable of being punctured	no	affixal	-less	NA	indirect	LAC
rimmed	rimless	a	rimmed%3:00:00::	rimless%3:00:00::	having a rim or a rim of a specified kind	lacking a rim or frame	no	affixal	-less	NA	indirect	LAC
rusted	rustless	a	rusted%3:00:00::	rustless%3:00:00::	having accumulated rust	without rust	no	affixal	-less	NA	indirect	LAC
smoky	smokeless	a	smoky%3:00:00::	smokeless%3:00:00::	marked by or emitting or filled with smoke	emitting or containing little or no smoke	no	affixal	-less	NA	indirect	LAC
starry	starless	a	starry%3:00:00::	starless%3:00:00::	abounding with or resembling stars	"not starry; having no stars or starlike objects"	no	affixal	-less	NA	indirect	LAC
stemmed	stemless	a	stemmed%3:00:00::	stemless%3:00:00::	"having a stem or stems or having a stem as specified; often used in combination"	not having a stem	no	affixal	-less	NA	indirect	LAC
sugary	sugarless	a	sugary%3:00:00::	sugarless%3:00:00::	containing sugar	not containing sugar	no	affixal	-less	NA	indirect	LAC
tasty	tasteless	a	tasty%3:00:00::	tasteless%3:00:01::	pleasing to the sense of taste	lacking flavor	no	affixal	-less	NA	indirect	LAC
thoughtful	thoughtless	a	thoughtful%3:00:00::	thoughtless%3:00:00::	exhibiting or characterized by careful thought	showing lack of careful thought	no	affixal	-less	NA	indirect	LAC
topped	topless	a	topped%3:00:00::	topless%3:00:00::	having a top of a specified character	having no top	no	affixal	-less	NA	indirect	LAC
tracked	trackless	a	tracked%3:00:00::	trackless%3:00:00::	having tracks	having no tracks	no	affixal	-less	NA	indirect	LAC
tuneful	tuneless	a	tuneful%3:00:00::	tuneless%3:00:00::	"having a musical sound; especially a pleasing tune"	not having a musical sound or pleasing tune	no	affixal	-less	NA	indirect	LAC
useful	useless	a	useful%3:00:00::	useless%3:00:00::	being of use or service	having no beneficial use or incapable of functioning usefully	no	affixal	-less	NA	indirect	LAC
weedy	weedless	a	weedy%3:00:00::	weedless%3:00:00::	abounding with or resembling weeds	free from weeds	no	affixal	-less	NA	indirect	LAC
weighty	weightless	a	weighty%3:00:00::	weightless%3:00:00::	"having relatively great weight; heavy"	"having little or no weight or apparent gravitational pull; light"	no	affixal	-less	NA	indirect	LAC
wired	wireless	a	wired%3:00:00::	wireless%3:00:00::	equipped with wire or wires especially for electric or telephone service	having no wires	no	affixal	-less	NA	indirect	LAC
color	colorlessness	n	color%1:07:00::	colorlessness%1:07:00::	a visual attribute of things that results from the light they emit or transmit or reflect	the visual property of being without chromatic color	no	affixal	-less	NA	indirect	LAC
fear	fearlessness	n	fear%1:12:00::	fearlessness%1:12:00::	an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)	feeling no fear	no	affixal	-less	NA	indirect	LAC
fruitfulness	fruitlessness	n	fruitfulness%1:07:00::	fruitlessness%1:07:00::	the quality of something that causes or assists healthy growth	the quality of yielding nothing of value	no	affixal	-less	NA	indirect	LAC
hairiness	hairlessness	n	hairiness%1:07:00::	hairlessness%1:07:00::	the quality of having hair	the quality of not having hair	no	affixal	-less	NA	indirect	LAC
heedfulness	heedlessness	n	heedfulness%1:07:00::	heedlessness%1:07:01::	the trait of staying aware of (paying close attention to) your responsibilities	the trait of forgetting or ignoring your responsibilities	no	affixal	-less	NA	indirect	LAC
hopefulness	hopelessness	n	hopefulness%1:12:00::	hopelessness%1:12:00::	the feeling you have when you have hope	the despair you feel when you have abandoned hope of comfort or success	no	affixal	-less	NA	indirect	LAC
mercifulness	mercilessness	n	mercifulness%1:07:00::	mercilessness%1:07:00::	a disposition to be kind and forgiving	inhumaneness evidenced by an unwillingness to be kind or forgiving	no	affixal	-less	NA	indirect	LAC
motion	motionlessness	n	motion%1:26:00::	motionlessness%1:26:00::	a state of change	a state of no motion or movement	no	affixal	-less	NA	indirect	LAC
powerfulness	powerlessness	n	powerfulness%1:07:00::	powerlessness%1:07:00::	possession of controlling influence	"the quality of lacking strength or power; being weak and feeble"	no	affixal	-less	NA	indirect	LAC
purposefulness	purposelessness	n	purposefulness%1:07:00::	purposelessness%1:07:00::	the quality of having a definite purpose	the quality of lacking any definite purpose	no	affixal	-less	NA	indirect	LAC
tactfulness	tactlessness	n	tactfulness%1:07:00::	tactlessness%1:07:00::	consideration in dealing with others and avoiding giving offense	the quality of lacking tact	no	affixal	-less	NA	indirect	LAC
usefulness	uselessness	n	usefulness%1:07:00::	uselessness%1:07:00::	the quality of being of practical use	the quality of having no practical use	no	affixal	-less	NA	indirect	LAC
worth	worthlessness	n	worth%1:07:00::	worthlessness%1:07:00::	the quality that renders something desirable or valuable or useful	having no qualities that would render it valuable or useful	no	affixal	-less	NA	indirect	LAC
carefully	carelessly	r	carefully%4:02:02::	carelessly%4:02:00::	"as if with kid gloves; with caution or prudence or tact"	without caution or prudence	no	affixal	-less	NA	indirect	LAC
fruitfully	fruitlessly	r	fruitfully%4:02:00::	fruitlessly%4:02:00::	in a productive way	in an unproductive manner	no	affixal	-less	NA	indirect	LAC
gracefully	gracelessly	r	gracefully%4:02:00::	gracelessly%4:02:00::	in a graceful manner	in a graceless manner	no	affixal	-less	NA	indirect	LAC
humorously	humorlessly	r	humorously%4:02:00::	humorlessly%4:02:00::	in a humorous manner	in a humorless manner	no	affixal	-less	NA	indirect	LAC
lawlessly	lawfully	r	lawlessly%4:02:00::	lawfully%4:02:01::	in an illegal manner	in a manner acceptable to common custom	yes	affixal	-less	NA	indirect	LAC
painfully	painlessly	r	painfully%4:02:01::	painlessly%4:02:01::	in or as if in pain	without pain	no	affixal	-less	NA	indirect	LAC
usefully	uselessly	r	usefully%4:02:00::	uselessly%4:02:00::	in a useful manner	in a useless manner	no	affixal	-less	NA	indirect	LAC
branchiate	abranchiate	a	branchiate%3:00:00::	abranchiate%3:00:00::	provided with gills	having no gills	no	affixal	a-	NA	direct	NA
chromatic	achromatic	a	chromatic%3:00:00::	achromatic%3:00:00::	being or having or characterized by hue	having no hue	no	affixal	a-	NA	direct	NA
chromatinic	achromatinic	a	chromatinic%3:01:00::	achromatinic%3:01:00::	(of substance of a cell nucleus) readily colored by stains	(of substance of a cell nucleus) not readily colored by stains	no	affixal	a-	NA	direct	NA
diabatic	adiabatic	a	diabatic%3:00:00::	adiabatic%3:00:00::	involving a transfer of heat	occurring without loss or gain of heat	no	affixal	a-	NA	direct	NA
historical	ahistorical	a	historical%3:01:00::	ahistorical%3:01:00::	of or relating to the study of history	unconcerned with or unrelated to history or to historical development or to tradition	no	affixal	a-	NA	direct	NA
periodic	aperiodic	a	periodic%3:00:00::	aperiodic%3:00:00::	happening or recurring at regular intervals	not recurring at regular intervals	no	affixal	a-	NA	direct	NA
petalous	apetalous	a	petalous%3:00:00::	apetalous%3:00:00::	(of flowers) having petals	(of flowers) having no petals	no	affixal	a-	NA	direct	NA
placental	aplacental	a	placental%3:00:00::	aplacental%3:00:00::	pertaining to or having or occurring by means of a placenta	having no placenta	no	affixal	a-	NA	direct	NA
sexual	asexual	a	sexual%3:00:00::	asexual%3:00:00::	having or involving sex	not having or involving sex	no	affixal	a-	NA	direct	NA
stomatous	astomatous	a	stomatous%3:00:00::	astomatous%3:00:00::	having a mouth or mouthlike opening	having no mouth or mouthlike opening	no	affixal	a-	NA	direct	NA
symmetrical	asymmetrical	a	symmetrical%3:00:00::	asymmetrical%3:00:00::	having similarity in size, shape, and relative position of corresponding parts	characterized by asymmetry in the spatial arrangement or placement of parts or components	no	affixal	a-	NA	direct	NA
synchronous	asynchronous	a	synchronous%3:00:01::	asynchronous%3:00:01::	(digital communication) pertaining to a transmission technique that requires a common clock signal (a timing reference) between the communicating devices in order to coordinate their transmissions	"(digital communication) pertaining to a transmission technique that does not require a common clock between the communicating devices; timing signals are derived from special characters in the data stream itself"	no	affixal	a-	NA	direct	NA
holistic	atomistic	a	holistic%3:00:00::	atomistic%3:00:00::	emphasizing the organic or functional relation between parts and the whole	divided into separate and often disparate elements	no	affixal	a-	NA	direct	NA
tonal	atonal	a	tonal%3:00:00::	atonal%3:00:00::	"having tonality; i.e. tones and chords organized in relation to one tone such as a keynote or tonic"	characterized by avoidance of traditional western tonality	no	affixal	a-	NA	direct	NA
tonic	atonic	a	tonic%3:00:00::	atonic%3:00:00::	used of syllables	used of syllables	no	affixal	a-	NA	direct	NA
vascular	avascular	a	vascular%3:01:00::	avascular%3:01:00::	of or relating to or having vessels that conduct and circulate fluids	without blood vessels	no	affixal	a-	NA	direct	NA
virulent	avirulent	a	virulent%3:00:00::	avirulent%3:00:00::	"infectious; having the ability to cause disease"	"not virulent; unable to produce disease"	no	affixal	a-	NA	direct	NA
chromatic_color	achromatic_color	n	chromatic_color%1:07:00::	achromatic_color%1:07:00::	a color that has hue	"a color lacking hue; white or grey or black"	no	affixal	a-	NA	direct	NA
stigmatism	astigmatism	n	stigmatism%1:26:00::	astigmatism%1:26:01::	(optics) condition of an optical system (as a lens) in which light rays from a single point converge in a single focal point	(optics) defect in an optical system in which light rays from a single point fail to converge in a single focal point	no	affixal	a-	NA	direct	NA
synchronism	asynchronism	n	synchronism%1:24:00::	asynchronism%1:24:00::	the relation that exists when things occur at the same time	the relation that exists when things occur at unrelated times	no	affixal	a-	NA	direct	NA
tonality	atonality	n	tonality%1:10:00::	atonality%1:10:00::	any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music	"the absence of a key; alternative to the diatonic system"	no	affixal	a-	NA	direct	NA
typicality	atypicality	n	typicality%1:26:00::	atypicality%1:26:00::	the state of being that is typical	any state that is not typical	no	affixal	a-	NA	direct	NA
symmetrically	asymmetrically	r	symmetrically%4:02:00::	asymmetrically%4:02:00::	in a symmetrical manner	in an asymmetrical manner	no	affixal	a-	NA	direct	NA
actinal	abactinal	a	actinal%3:00:00::	abactinal%3:00:00::	(of radiate organisms) located on the surface or end on which the mouth is situated	(of radiate animals) located on the surface or end opposite to that on which the mouth is situated	no	affixal	ab-	NA	indirect	ROD
normal	abnormal	a	normal%3:00:03::	abnormal%3:00:03::	being approximately average or within certain limits in e.g. intelligence and development	departing from the normal in e.g. intelligence and development	no	affixal	ab-	NA	indirect	OPP
oral	aboral	a	oral%3:00:00::	aboral%3:00:00::	of or involving the mouth or mouth region or the surface on which the mouth is located	opposite to or away from the mouth	no	affixal	ab-	NA	indirect	ROD
abducent	adducent	a	abducent%3:00:00::	adducent%3:00:00::	"especially of muscles; drawing away from the midline of the body or from an adjacent part"	"especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part"	yes	affixal	ab-	NA	indirect	ROD
normality	abnormality	n	normality%1:26:00::	abnormality%1:26:00::	being within certain limits that define the range of normal functioning	an abnormal physical condition resulting from defective genes or developmental deficiencies	no	affixal	ab-	NA	indirect	OPP
orad	aborad	r	orad%4:02:00::	aborad%4:02:00::	toward the mouth or oral region	away from the mouth or oral region	no	affixal	ab-	NA	indirect	ROD
anastigmatic	astigmatic	a	anastigmatic%3:00:00::	astigmatic%3:00:00::	not astigmatic	of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images	no	affixal	an-	NA	direct	NA
climactic	anticlimactic	a	climactic%3:00:00::	anticlimactic%3:00:00::	consisting of or causing a climax	coming after the climax especially of a dramatic or narrative plot	no	affixal	anti-	NA	indirect	OPP
septic	antiseptic	a	septic%3:00:00::	antiseptic%3:00:00::	containing or resulting from disease-causing organisms	thoroughly clean and free of or destructive to disease-causing organisms	no	affixal	anti-	NA	indirect	OPP
catalyst	anticatalyst	n	catalyst%1:27:00::	anticatalyst%1:27:00::	(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected	(chemistry) a substance that retards a chemical reaction or diminishes the activity of a catalyst	no	affixal	anti-	NA	indirect	OPP
counterclockwise	clockwise	a	counterclockwise%3:00:00::	clockwise%3:00:00::	in the direction opposite to the rotation of the hands of a clock	in the same direction as the rotating hands of a clock	yes	affixal	counter-	NA	indirect	ROD
iodinating	de-iodinating	a	iodinating%3:00:00::	de-iodinating%3:00:00::	combining or causing to combine with iodine	removing iodine from	no	affixal	de-	NA	indirect	ROA
centralizing	decentralizing	a	centralizing%3:00:00::	decentralizing%3:00:00::	tending to draw to a central point	tending away from a central point	no	affixal	de-	NA	indirect	ROD
increasing	decreasing	a	increasing%3:00:02::	decreasing%3:00:02::	music	music	no	affixal	de-	NA	indirect	ROD
inflationary	deflationary	a	inflationary%3:00:00::	deflationary%3:00:00::	associated with or tending to cause increases in inflation	associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money	no	affixal	de-	NA	indirect	ROD
constructive	destructive	a	constructive%3:00:00::	destructive%3:00:00::	constructing or tending to construct or improve or promote development	causing destruction or much damage	no	affixal	de-	NA	indirect	ROD
attachable	detachable	a	attachable%3:00:00::	detachable%3:00:00::	capable of being fastened or added to something else	designed to be unfastened or disconnected without damage	no	affixal	de-	NA	indirect	ROD
attached	detached	a	attached%3:00:02::	detached%3:00:00::	used of buildings joined by common sidewalls	"used of buildings; standing apart from others"	no	affixal	de-	NA	indirect	ROD
deactivation	activation	n	deactivation%1:04:00::	activation%1:04:01::	the act of deactivating or making ineffective (as a bomb)	making active and effective (as a bomb)	yes	affixal	de-	NA	indirect	ROA
acceleration	deceleration	n	acceleration%1:28:00::	deceleration%1:28:00::	(physics) a rate of increase of velocity	(physics) a rate of decrease in velocity	no	affixal	de-	NA	indirect	ROD
centralization	decentralization	n	centralization%1:04:00::	decentralization%1:04:00::	the act of consolidating power under a central control	the spread of power away from the center to local branches or governments	no	affixal	de-	NA	indirect	ROA
criminalisation	decriminalisation	n	criminalisation%1:04:00::	decriminalisation%1:04:00::	legislation that makes something illegal	legislation that makes something legal that was formerly illegal	no	affixal	de-	NA	indirect	ROA
criminalization	decriminalization	n	criminalization%1:04:00::	decriminalization%1:04:00::	legislation that makes something illegal	legislation that makes something legal that was formerly illegal	no	affixal	de-	NA	indirect	ROA
inflationary_spiral	deflationary_spiral	n	inflationary_spiral%1:22:00::	deflationary_spiral%1:22:00::	an episode of inflation in which prices and wages increase at an increasing rate and currency rapidly loses value	an episode of deflation in which prices and wages decrease at an increasing rate and currency gains in value	no	affixal	de-	NA	indirect	ROD
merit	demerit	n	merit%1:07:01::	demerit%1:07:00::	any admirable quality or attribute	the quality of being inadequate or falling short of perfection	no	affixal	de-	NA	indirect	ROD
monetization	demonetization	n	monetization%1:04:01::	demonetization%1:04:00::	establishing something (e.g. gold or silver) as the legal tender of a country	ending something (e.g. gold or silver) as no longer the legal tender of a country	no	affixal	de-	NA	indirect	ROD
stabilisation	destabilisation	n	stabilisation%1:04:00::	destabilisation%1:04:00::	the act of stabilizing something or making it more stable	"the action of destabilizing; making something less stable (especially of a government or country or economy)"	no	affixal	de-	NA	indirect	ROD
constructiveness	destructiveness	n	constructiveness%1:07:00::	destructiveness%1:07:00::	the quality of serving to build or improve	the quality of causing destruction	no	affixal	de-	NA	indirect	ROD
synchronization	desynchronization	n	synchronization%1:24:00::	desynchronization%1:24:00::	the relation that exists when things occur at the same time	the relation that exists when things occur at unrelated times	no	affixal	de-	NA	indirect	ROD
synchronizing	desynchronizing	n	synchronizing%1:24:00::	desynchronizing%1:24:00::	the relation that exists when things occur at the same time	the relation that exists when things occur at unrelated times	no	affixal	de-	NA	indirect	ROD
decentralize	centralise	v	decentralize%2:30:00::	centralise%2:30:00::	make less central	make central	no	affixal	de-	NA	indirect	ROA
energize	de-energize	v	energize%2:29:00::	de-energize%2:29:00::	cause to be alert and energetic	deprive of energy	no	affixal	de-	NA	indirect	ROA
escalate	de-escalate	v	escalate%2:30:00::	de-escalate%2:30:00::	increase in extent or intensity	reduce the level or intensity or size or scope of	no	affixal	de-	NA	indirect	ROA
iodinate	de-iodinate	v	iodinate%2:30:00::	de-iodinate%2:30:00::	cause to combine with iodine	remove iodine from	no	affixal	de-	NA	indirect	ROA
certify	decertify	v	certify%2:41:02::	decertify%2:41:00::	authorize officially	cause to be no longer approved or accepted	no	affixal	de-	NA	indirect	ROA
classify	declassify	v	classify%2:41:00::	declassify%2:41:00::	declare unavailable, as for security reasons	lift the restriction on and make available again	no	affixal	de-	NA	indirect	ROA
encode	decode	v	encode%2:32:00::	decode%2:32:00::	convert information into code	convert code into ordinary language	no	affixal	de-	NA	indirect	ROA
colonise	decolonise	v	colonise%2:41:00::	decolonise%2:41:00::	"settle as a colony; of countries in the developing world"	grant independence to (a former colony)	no	affixal	de-	NA	indirect	ROA
colonize	decolonize	v	colonize%2:41:00::	decolonize%2:41:00::	"settle as a colony; of countries in the developing world"	grant independence to (a former colony)	no	affixal	de-	NA	indirect	ROA
concentrate	deconcentrate	v	concentrate%2:30:02::	deconcentrate%2:30:00::	make central	make less central	no	affixal	de-	NA	indirect	ROA
crescendo	decrescendo	v	crescendo%2:30:00::	decrescendo%2:30:00::	grow louder	grow quieter	no	affixal	de-	NA	indirect	ROD
criminalise	decriminalise	v	criminalise%2:41:00::	decriminalise%2:41:00::	"declare illegal; outlaw"	make legal	no	affixal	de-	NA	indirect	ROD
glycerolize	deglycerolize	v	glycerolize%2:38:00::	deglycerolize%2:38:00::	place in glycerol	remove from glycerol	no	affixal	de-	NA	indirect	ROA
aggrade	degrade	v	aggrade%2:35:00::	degrade%2:35:00::	build up to a level by depositing sediment	reduce the level of land, as by erosion	no	affixal	de-	NA	indirect	ROD
humidify	dehumidify	v	humidify%2:30:00::	dehumidify%2:30:00::	make (more) humid	make less humid	no	affixal	de-	NA	indirect	ROA
materialise	dematerialise	v	materialise%2:30:00::	dematerialise%2:30:00::	"come into being; become reality"	"become immaterial; disappear"	no	affixal	de-	NA	indirect	ROA
materialize	dematerialize	v	materialize%2:30:00::	dematerialize%2:30:00::	"come into being; become reality"	"become immaterial; disappear"	no	affixal	de-	NA	indirect	ROA
militarise	demilitarise	v	militarise%2:33:00::	demilitarise%2:33:00::	lend a military character to (a country), as by building up a military force	do away with the military organization and potential of	no	affixal	de-	NA	indirect	ROA
militarize	demilitarize	v	militarize%2:33:00::	demilitarize%2:33:00::	lend a military character to (a country), as by building up a military force	do away with the military organization and potential of	no	affixal	de-	NA	indirect	ROA
promote	demote	v	promote%2:41:00::	demote%2:41:00::	give a promotion to or assign to a higher position	"assign to a lower position; reduce in rank"	no	affixal	de-	NA	indirect	ROA
naturalize	denaturalize	v	naturalize%2:30:01::	denaturalize%2:30:01::	make more natural or lifelike	make less natural or unnatural	no	affixal	de-	NA	indirect	ROA
odourise	deodourise	v	odourise%2:39:00::	deodourise%2:39:00::	cause to smell or be smelly	eliminate the odor from	no	affixal	de-	NA	indirect	ROA
personalise	depersonalise	v	personalise%2:30:00::	depersonalise%2:30:00::	make personal or more personal	make impersonal or present as an object	no	affixal	de-	NA	indirect	ROA
elate	depress	v	elate%2:37:00::	depress%2:37:00::	"fill with high spirits; fill with optimism"	"lower someone's spirits; make downhearted"	no	affixal	de-	NA	indirect	ROA
pressurise	depressurise	v	pressurise%2:30:00::	depressurise%2:30:00::	increase the pressure in or of	decrease the pressure of	no	affixal	de-	NA	indirect	ROA
regulate	deregulate	v	regulate%2:41:01::	deregulate%2:41:00::	"bring into conformity with rules or principles or usage; impose regulations"	lift the regulations on	no	affixal	de-	NA	indirect	ROA
requisition	derequisition	v	requisition%2:40:00::	derequisition%2:40:00::	demand and take for use or service, especially by military or public authority for public service	release from government control	no	affixal	de-	NA	indirect	ROA
sensitize	desensitize	v	sensitize%2:39:00::	desensitize%2:39:00::	"cause to sense; make sensitive"	cause not to be sensitive	no	affixal	de-	NA	indirect	ROA
stabilize	destabilise	v	stabilize%2:30:00::	destabilise%2:30:01::	become stable or more stable	become unstable	no	affixal	de-	NA	indirect	ROA
stabilise	destabilise	v	stabilise%2:30:01::	destabilise%2:30:00::	make stable and keep from fluctuating or put into an equilibrium	make unstable	no	affixal	de-	NA	indirect	ROA
stabilize	destabilize	v	stabilize%2:30:00::	destabilize%2:30:01::	become stable or more stable	become unstable	no	affixal	de-	NA	indirect	ROA
synchronise	desynchronise	v	synchronise%2:30:00::	desynchronise%2:30:00::	make synchronous and adjust in time or manner	"cause to become desynchronized; cause to occur at unrelated times"	no	affixal	de-	NA	indirect	ROA
synchronize	desynchronize	v	synchronize%2:30:00::	desynchronize%2:30:00::	make synchronous and adjust in time or manner	"cause to become desynchronized; cause to occur at unrelated times"	no	affixal	de-	NA	indirect	ROA
attach	detach	v	attach%2:35:01::	detach%2:35:01::	cause to be attached	"cause to become detached or separated; take off"	no	affixal	de-	NA	indirect	ROA
enthrone	dethrone	v	enthrone%2:41:00::	dethrone%2:41:00::	put a monarch on the throne	remove a monarch from the throne	no	affixal	de-	NA	indirect	ROA
transitivize	detransitivize	v	transitivize%2:30:00::	detransitivize%2:30:00::	make transitive	intransitivize	no	affixal	de-	NA	indirect	ROA
convergent	divergent	a	convergent%3:00:00::	divergent%3:00:00::	tending to come together from different directions	tending to move apart in different directions	no	affixal	di-	NA	indirect	ROD
convergency	divergency	n	convergency%1:09:00::	divergency%1:09:00::	the approach of an infinite series to a finite limit	an infinite series that has no limit	no	affixal	di-	NA	indirect	ROD
convergent_thinking	divergent_thinking	n	convergent_thinking%1:09:00::	divergent_thinking%1:09:00::	thinking that brings together information focussed on solving a problem (especially solving problems that have a single correct solution)	"thinking that moves away in diverging directions so as to involve a variety of aspects and which sometimes lead to novel ideas and solutions; associated with creativity"	no	affixal	di-	NA	indirect	OPP
invest	divest	v	invest%2:41:00::	divest%2:41:00::	provide with power and authority	deprive of status or authority	no	affixal	di-	NA	indirect	OPP
enabling	disabling	a	enabling%3:00:00::	disabling%3:00:00::	providing legal power or sanction	"depriving of legal right; rendering legally disqualified"	no	affixal	dis-	NA	indirect	ROA
advantageous	disadvantageous	a	advantageous%3:00:00::	disadvantageous%3:00:00::	giving an advantage	constituting a disadvantage	no	affixal	dis-	NA	direct	NA
agreeable	disagreeable	a	agreeable%3:00:00::	disagreeable%3:00:00::	conforming to your own liking or feelings or nature	not to your liking	no	affixal	dis-	NA	direct	NA
arranged	disarranged	a	arranged%3:00:00::	disarranged%3:00:00::	disposed or placed in a particular kind of order	"having the arrangement disturbed; not in order"	no	affixal	dis-	NA	indirect	ROA
contented	discontented	a	contented%3:00:00::	discontented%3:00:00::	satisfied or showing satisfaction with things as they are	showing or experiencing dissatisfaction or restless longing	no	affixal	dis-	NA	direct	NA
continued	discontinued	a	continued%3:00:00::	discontinued%3:00:00::	without stop or interruption	stopped permanently or temporarily	no	affixal	dis-	NA	direct	NA
continuous	discontinuous	a	continuous%3:00:02::	discontinuous%3:00:02::	"of a function or curve; extending without break or irregularity"	"of a function or curve; possessing one or more discontinuities"	no	affixal	dis-	NA	direct	NA
accordant	discordant	a	accordant%3:00:00::	discordant%3:00:00::	"being in agreement or harmony; often followed by `with'"	not in agreement or harmony	no	affixal	dis-	NA	direct	NA
courteous	discourteous	a	courteous%3:00:00::	discourteous%3:00:00::	characterized by courtesy and gracious good manners	"showing no courtesy; rude"	no	affixal	dis-	NA	indirect	OPP
enfranchised	disenfranchised	a	enfranchised%3:00:00::	disenfranchised%3:00:00::	endowed with the rights of citizenship especially the right to vote	deprived of the rights of citizenship especially the right to vote	no	affixal	dis-	NA	indirect	OPP
honest	dishonest	a	honest%3:00:00::	dishonest%3:00:00::	"not disposed to cheat or defraud; not deceptive or fraudulent"	"deceptive or fraudulent; disposed to cheat or defraud or deceive"	no	affixal	dis-	NA	direct	NA
