pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
acid-loving	alkaline-loving	a	acid-loving%3:00:00::	alkaline-loving%3:00:00::	thriving in a relatively acidic environment (especially of plants requiring a pH well below 7)	thriving in a relatively alkaline environment; (especially of plants requiring a pH above 7)	_	_	_	_	_	_	no	non-affixal	_	_	_	_
acidic	alkaline	a	acidic%3:00:00::	alkaline%3:00:00::	being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)	relating to or containing an alkali; having a pH greater than 7	_	_	_	_	_	_	no	non-affixal	_	_	_	_
acidic	amphoteric	a	acidic%3:00:00::	amphoteric%3:00:00::	being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)	having characteristics of both an acid and a base and capable of reacting as either	no	non-affixal	_	_	_	_	_	_	_	_	_	_
acknowledged	unacknowledged	a	acknowledged%3:00:00::	unacknowledged%3:00:00::	recognized or made known or admitted	not recognized or admitted	_	_	_	_	_	_	no	affixal	un-	_	direct	_
acquisitive	unacquisitive	a	acquisitive%3:00:00::	unacquisitive%3:00:00::	eager to acquire and possess things especially material possessions or ideas	not acquisitive; not interested in acquiring or owning anything	_	_	_	_	_	_	no	affixal	un-	_	direct	_
acrocarpous	pleurocarpous	a	acrocarpous%3:00:00::	pleurocarpous%3:00:00::	(of mosses) having the archegonia at the top of the stem	(of mosses) having the archegonia on short lateral branches	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
acropetal	basipetal	a	acropetal%3:00:00::	basipetal%3:00:00::	of leaves or flowers; developing or opening in succession from base to apex	of leaves or flowers; developing or opening in succession from apex to base	_	_	_	_	_	_	no	non-affixal	_	_	_	_
acroscopic	basiscopic	a	acroscopic%3:00:00::	basiscopic%3:00:00::	facing or on the side toward the apex	facing or on the side toward the base	_	_	_	_	_	_	no	non-affixal	_	_	_	_
actable	unactable	a	actable%3:00:00::	unactable%3:00:00::	capable of being acted; suitable for the stage	not actable	no	affixal	un-	_	direct	_	_	_	_	_	_	_
actinal	abactinal	a	actinal%3:00:00::	abactinal%3:00:00::	(of radiate organisms) located on the surface or end on which the mouth is situated	(of radiate animals) located on the surface or end opposite to that on which the mouth is situated	_	_	_	_	_	_	no	affixal	ab-	_	indirect	ROD
actinomorphic	zygomorphic	a	actinomorphic%3:00:00::	zygomorphic%3:00:00::	capable of division into symmetrical halves by any longitudinal plane passing through the axis	capable of division into symmetrical halves by only one longitudinal plane passing through the axis	_	_	_	_	_	_	no	non-affixal	_	_	_	_
active	dormant	a	active%3:00:04::	dormant%3:00:00::	(of e.g. volcanos) erupting or liable to erupt	(of e.g. volcanos) not erupting and not extinct	no	non-affixal	_	_	_	_	_	_	_	_	_	_
active	inactive	a	active%3:00:07::	inactive%3:00:07::	exerting influence or producing a change or effect	not exerting influence or change	no	affixal	in-	_	direct	_	_	_	_	_	_	_
active	passive	a	active%3:00:09::	passive%3:00:02::	"expressing that the subject of the sentence has the semantic function of actor: ""Hemingway favors active constructions"""	expressing that the subject of the sentence is the patient of the action denoted by the verb	no	non-affixal	_	_	_	_	_	_	_	_	_	_
active	quiet	a	active%3:00:10::	quiet%3:00:03::	(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions	of the sun characterized by a low level of surface phenomena like sunspots e.g.	no	non-affixal	_	_	_	_	_	_	_	_	_	_
active	stative	a	active%3:00:00::	stative%3:00:00::	(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being	( used of verbs (e.g. `be' or `own') and most participial adjectives) expressing existence or a state rather than an action	_	_	_	_	_	_	no	non-affixal	_	_	_	_
actual	potential	a	actual%3:00:00::	potential%3:00:00::	presently existing in fact and not merely potential or possible	existing in possibility	no	non-affixal	_	_	_	_	_	_	_	_	_	_
acute	chronic	a	acute%3:00:00::	chronic%3:00:00::	having or experiencing a rapid onset and short but severe course	being long-lasting and recurrent or characterized by long suffering	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
acute	obtuse	a	acute%3:00:02::	obtuse%3:00:00::	of an angle; less than 90 degrees	of an angle; between 90 and 180 degrees	_	_	_	_	_	_	no	non-affixal	_	_	_	_
adaptable	unadaptable	a	adaptable%3:00:00::	unadaptable%3:00:00::	capable of adapting (of becoming or being made suitable) to a particular situation or use	not adaptable	no	affixal	un-	_	direct	_	_	_	_	_	_	_
adaptive	maladaptive	a	adaptive%3:00:00::	maladaptive%3:00:00::	having a capacity for adaptation	showing faulty adaptation	no	non-affixal	_	_	_	_	_	_	_	_	_	_
addicted	unaddicted	a	addicted%3:00:00::	unaddicted%3:00:00::	compulsively or physiologically dependent on something habit-forming	not addicted	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
addictive	nonaddictive	a	addictive%3:00:00::	nonaddictive%3:00:00::	causing or characterized by addiction	not causing or characterized by addiction	no	affixal	non-	_	direct	_	_	_	_	_	_	_
additive	subtractive	a	additive%3:00:00::	subtractive%3:00:00::	characterized or produced by addition	constituting or involving subtraction	no	non-affixal	_	_	_	_	_	_	_	_	_	_
addressed	unaddressed	a	addressed%3:00:00::	unaddressed%3:00:00::	(of mail) marked with a destination	not addressed	_	_	_	_	_	_	no	affixal	un-	_	direct	_
adequate	inadequate	a	adequate%3:00:00::	inadequate%3:00:00::	having the requisite qualities or resources to meet a task	lacking the requisite qualities or resources to meet a task	_	_	_	_	_	_	no	affixal	in-	_	direct	_
adhesive	nonadhesive	a	adhesive%3:00:00::	nonadhesive%3:00:00::	tending to adhere	not tending to adhere	no	affixal	non-	_	direct	_	_	_	_	_	_	_
adjective	substantive	a	adjective%3:00:00::	substantive%3:00:00::	relating to court practice and procedure as opposed to the principles of law	defining rights and duties as opposed to giving the rules by which rights and duties are established	_	_	_	_	_	_	no	non-affixal	_	_	_	_
adjusted	maladjusted	a	adjusted%3:00:02::	maladjusted%3:00:00::	adjusted to demands of daily living; showing emotional stability	poorly adjusted to demands and stresses of daily living	no	affixal	mal-	_	indirect	WRO	_	_	_	_	_	_
adjusted	unadjusted	a	adjusted%3:00:00::	unadjusted%3:00:00::	altered to accommodate to certain requirements or bring into a proper relation	not altered to fit certain requirements; 	_	_	_	_	_	_	no	affixal	un-	_	direct	_
admissible	inadmissible	a	admissible%3:00:00::	inadmissible%3:00:00::	deserving to be admitted	not deserving to be admitted	_	_	_	_	_	_	no	affixal	in-	_	direct	_
adnate	connate	a	adnate%3:00:00::	connate%3:00:00::	of unlike parts or organs; growing closely attached	of similar parts or organs; closely joined or united	_	_	_	_	_	_	no	non-affixal	_	_	_	_
adoptable	unadoptable	a	adoptable%3:00:00::	unadoptable%3:00:00::	suitable or eligible for adoption	difficult to place in an adoptive home	_	_	_	_	_	_	no	affixal	un-	_	direct	_
adorned	unadorned	a	adorned%3:00:00::	unadorned%3:00:00::	provided with something intended to increase its beauty or distinction	not decorated with something to increase its beauty or distinction	no	affixal	un-	_	direct	_	_	_	_	_	_	_
adroit	maladroit	a	adroit%3:00:00::	maladroit%3:00:00::	quick or skillful or adept in action or thought	not adroit	no	affixal	mal-	_	indirect	WRO	_	_	_	_	_	_
adsorbent	nonadsorbent	a	adsorbent%3:00:00::	nonadsorbent%3:00:00::	having capacity or tendency to adsorb or cause to accumulate on a surface	lacking a capacity to adsorb or cause to accumulate on a surface	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
adulterating	purifying	a	adulterating%3:00:00::	purifying%3:00:00::	making impure or corrupt by adding extraneous materials	freeing from noxious matter	_	_	_	_	_	_	no	non-affixal	_	_	_	_
advantageous	disadvantageous	a	advantageous%3:00:00::	disadvantageous%3:00:00::	giving an advantage	constituting a disadvantage	_	_	_	_	_	_	no	affixal	dis-	_	direct	_
adventurous	unadventurous	a	adventurous%3:00:00::	unadventurous%3:00:00::	willing to undertake or seeking out new and daring enterprises	lacking in boldness	no	affixal	un-	_	direct	_	_	_	_	_	_	_
advisable	inadvisable	a	advisable%3:00:00::	inadvisable%3:00:00::	worthy of being recommended or suggested; prudent or wise	not prudent or wise; not recommended	_	_	_	_	_	_	no	affixal	in-	_	direct	_
aerobic	anaerobic	a	aerobic%3:00:02::	anaerobic%3:00:02::	based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency	not aerobic	_	_	_	_	_	_	no	non-affixal	_	_	_	_
aesthetic	inaesthetic	a	aesthetic%3:00:00::	inaesthetic%3:00:00::	concerning or characterized by an appreciation of beauty or good taste	violating aesthetic canons or requirements; deficient in tastefulness or beauty	_	_	_	_	_	_	no	affixal	in-	_	direct	_
affected	unaffected	a	affected%3:00:01::	unaffected%3:00:01::	speaking or behaving in an artificial way to make an impression	free of artificiality; sincere and genuine	no	affixal	un-	_	direct	_	_	_	_	_	_	_
afferent	efferent	a	afferent%3:00:00::	efferent%3:00:00::	of nerves and nerve impulses; conveying sensory information from the sense organs to the CNS	of nerves and nerve impulses; conveying information away from the CNS	_	_	_	_	_	_	no	non-affixal	_	_	_	_
affixed	unaffixed	a	affixed%3:00:00::	unaffixed%3:00:00::	firmly attached	not affixed	_	_	_	_	_	_	no	affixal	un-	_	direct	_
afloat	aground	a	afloat%3:00:00::	aground%3:00:00::	borne on the water; floating	stuck in a place where a ship can no longer float	no	non-affixal	_	_	_	_	_	_	_	_	_	_
afraid	unafraid	a	afraid%3:00:00::	unafraid%3:00:00::	filled with fear or apprehension	oblivious of dangers or perils or calmly resolute in facing them	no	affixal	un-	_	direct	_	_	_	_	_	_	_
aft	fore	a	aft%3:00:00::	fore%3:00:00::	(nautical, aeronautical) situated at or toward the stern or tail	situated at or toward the bow of a vessel	no	non-affixal	_	_	_	_	_	_	_	_	_	_
aggressive	unaggressive	a	aggressive%3:00:00::	unaggressive%3:00:00::	"having or showing determination and energetic pursuit of your ends; positive in his convictions"""	not aggressive; not given to fighting or assertiveness	no	affixal	un-	_	direct	_	_	_	_	_	_	_
agitated	unagitated	a	agitated%3:00:02::	unagitated%3:00:02::	physically disturbed or set in motion	not physically disturbed or set in motion	_	_	_	_	_	_	no	affixal	un-	_	direct	_
agreeable	disagreeable	a	agreeable%3:00:00::	disagreeable%3:00:00::	conforming to your own liking or feelings or nature	not to your liking	_	_	_	_	_	_	no	affixal	dis-	_	direct	_
air-to-air	surface-to-air	a	air-to-air%3:00:00::	surface-to-air%3:00:00::	operating between or launched from or involving rockets or aircraft in flight	operating from or designed to be launched from the ground against an airborne target	_	_	_	_	_	_	no	non-affixal	_	_	_	_
air-to-surface	air-to-air	a	air-to-surface%3:00:00::	air-to-air%3:00:00::	operating from or designed to be fired from aircraft at targets on the ground	operating between or launched from or involving rockets or aircraft in flight	no	non-affixal	_	_	_	_	_	_	_	_	_	_
air-to-surface	surface-to-air	a	air-to-surface%3:00:00::	surface-to-air%3:00:00::	operating from or designed to be fired from aircraft at targets on the ground	operating from or designed to be launched from the ground against an airborne target	no	non-affixal	_	_	_	_	_	_	_	_	_	_
airworthy	unairworthy	a	airworthy%3:00:00::	unairworthy%3:00:00::	(of aircraft) fit to fly	not fit to fly	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
alarming	unalarming	a	alarming%3:00:00::	unalarming%3:00:00::	frightening because of an awareness of danger	not alarming; assuaging alarm	_	_	_	_	_	_	no	affixal	un-	_	direct	_
alcoholic	nonalcoholic	a	alcoholic%3:00:00::	nonalcoholic%3:00:00::	characteristic of or containing alcohol	characterized by the absence of alcohol	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
alert	unalert	a	alert%3:00:00::	unalert%3:00:00::	engaged in or accustomed to close observation	not alert to what is potentially dangerous	no	affixal	un-	_	direct	_	_	_	_	_	_	_
algorithmic	heuristic	a	algorithmic%3:00:00::	heuristic%3:00:00::	of or relating to or having the characteristics of an algorithm	of or relating to or using a general formulation that serves to guide investigation	_	_	_	_	_	_	no	non-affixal	_	_	_	_
alienable	inalienable	a	alienable%3:00:00::	inalienable%3:00:00::	transferable to another owner	incapable of being repudiated or transferred to another	no	affixal	in-	_	direct	_	_	_	_	_	_	_
aligned	nonaligned	a	aligned%3:00:01::	nonaligned%3:00:00::	brought into agreement or cooperation on the side of a faction, party, or cause	not affiliated with any faction, party, or cause	no	affixal	non-	_	direct	_	no	affixal	non-	_	indirect	OPP
alike	unalike	a	alike%3:00:00::	unalike%3:00:00::	having the same or similar characteristics	not alike or similar	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
alive	dead	a	alive%3:00:01::	dead%3:00:01::	possessing life	no longer having or seeming to have or expecting to have life	_	_	_	_	_	_	no	non-affixal	_	_	_	_
alkaline	amphoteric	a	alkaline%3:00:00::	amphoteric%3:00:00::	relating to or containing an alkali; having a pH greater than 7	having characteristics of both an acid and a base and capable of reacting as either	_	_	_	_	_	_	no	non-affixal	_	_	_	_
allogeneic	xenogeneic	a	allogeneic%3:00:00::	xenogeneic%3:00:00::	denoting or relating to cells or tissues from individuals belonging to the same species but genetically dissimilar (and hence immunologically incompatible)	denoting or relating to cells or tissues from individuals belonging to different species	_	_	_	_	_	_	no	non-affixal	_	_	_	_
alphabetic	analphabetic	a	alphabetic%3:01:00::	analphabetic%3:01:00::	relating to or expressed by a writing system that uses an alphabet	relating to or expressed by a writing system that is not alphabetic	no	affixal	an-	_	direct	_	no	non-affixal	_	_	_	_
alterable	unalterable	a	alterable%3:00:00::	unalterable%3:00:00::	capable of being changed or altered in some characteristic	not capable of being changed or altered	_	_	_	_	_	_	no	affixal	un-	_	direct	_
altered	unaltered	a	altered%3:00:00::	unaltered%3:00:00::	changed in form or character without becoming something else	remaining in an original state	no	affixal	un-	_	direct	_	_	_	_	_	_	_
altricial	precocial	a	altricial%3:00:00::	precocial%3:00:00::	(of hatchlings) naked and blind and dependent on parents for food	(of hatchlings) covered with down and having eyes open; capable of leaving the nest within a few days	_	_	_	_	_	_	no	non-affixal	_	_	_	_
altruistic	egoistic	a	altruistic%3:00:00::	egoistic%3:00:00::	showing unselfish concern for the welfare of others	limited to or caring only about yourself and your own needs	_	_	_	_	_	_	no	non-affixal	_	_	_	_
ambiguous	unambiguous	a	ambiguous%3:00:00::	unambiguous%3:00:00::	having more than one possible meaning	having or exhibiting a single clearly defined meaning	no	affixal	un-	_	direct	_	_	_	_	_	_	_
ambitious	unambitious	a	ambitious%3:00:00::	unambitious%3:00:00::	having a strong desire for success or achievement	having little desire for success or achievement	_	_	_	_	_	_	no	affixal	un-	_	direct	_
amended	unamended	a	amended%3:00:00::	unamended%3:00:00::	of legislation	(of legislation) not amended	no	affixal	un-	_	direct	_	_	_	_	_	_	_
ametropic	emmetropic	a	ametropic%3:00:00::	emmetropic%3:00:00::	of or relating to an abnormal condition of the eye in which visual images are not in focus on the retina	of or relating to the normal condition of the eye in which visual images are in clear focus on the retina	_	_	_	_	_	_	no	non-affixal	_	_	_	_
ample	meager	a	ample%3:00:00::	meager%3:00:00::	more than enough in size or scope or capacity	deficient in amount or quality or extent	_	_	_	_	_	_	no	non-affixal	_	_	_	_
anabatic	katabatic	a	anabatic%3:00:00::	katabatic%3:00:00::	of an air current or wind; rising especially up a slope	of an air current or wind; moving downward or down a slope because of cooling especially at night	_	_	_	_	_	_	no	non-affixal	_	_	_	_
anabolic	catabolic	a	anabolic%3:00:00::	catabolic%3:00:00::	characterized by or promoting constructive metabolism	characterized by destructive metabolism	no	non-affixal	_	_	_	_	_	_	_	_	_	_
anaclinal	cataclinal	a	anaclinal%3:00:00::	cataclinal%3:00:00::	of valleys and rivers; progressing in a direction opposite to the dip in surrounding rock strata	of valleys and rivers; running in the direction of the dip in surrounding rock strata	no	non-affixal	_	_	_	_	_	_	_	_	_	_
anadromous	catadromous	a	anadromous%3:00:00::	catadromous%3:00:00::	migrating from the sea to fresh water to spawn	migrating from fresh water to the sea to spawn	no	non-affixal	_	_	_	_	_	_	_	_	_	_
anadromous	diadromous	a	anadromous%3:00:00::	diadromous%3:00:00::	migrating from the sea to fresh water to spawn	(used of fish) migratory between fresh and salt waters	_	_	_	_	_	_	no	non-affixal	_	_	_	_
anal	oral	a	anal%3:00:00::	oral%3:00:02::	a stage in psychosexual development when the child's interest is concentrated on the anal region; fixation at this stage is said to result in orderliness, meanness, stubbornness, compulsiveness, etc.	a stage in psychosexual development when the child's interest is concentrated in the mouth; fixation at this stage is said to result in dependence, selfishness, and aggression	_	_	_	_	_	_	no	non-affixal	_	_	_	_
analogue	digital	a	analogue%3:00:00::	digital%3:00:00::	of a circuit or device having an output that is proportional to the input	of a circuit or device that represents magnitudes in digits	_	_	_	_	_	_	no	non-affixal	_	_	_	_
analytic	synthetic	a	analytic%3:00:03::	synthetic%3:00:03::	using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)	involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis	no	non-affixal	_	_	_	_	_	_	_	_	_	_
analyzed	unanalyzed	a	analyzed%3:00:00::	unanalyzed%3:00:00::	examined carefully and methodically; broken down for consideration of constituent parts	not analyzed or broken down for detailed examination	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
anastigmatic	astigmatic	a	anastigmatic%3:00:00::	astigmatic%3:00:00::	not astigmatic	of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images	yes	affixal	un-	_	direct	_	no	affixal	an-	_	direct	_
anatropous	amphitropous	a	anatropous%3:00:00::	amphitropous%3:00:00::	(of a plant ovule) completely inverted; turned back 180 degrees on its stalk	(of a plant ovule) partly inverted; turned back 90 degrees on its stalk	_	_	_	_	_	_	no	non-affixal	_	_	_	_
anemophilous	entomophilous	a	anemophilous%3:00:00::	entomophilous%3:00:00::	of flowering plants (especially grasses etc) that are pollinated by the wind	of flowering plants (especially orchids etc) that are pollinated by insects	_	_	_	_	_	_	no	non-affixal	_	_	_	_
angry	unangry	a	angry%3:00:00::	unangry%3:00:00::	feeling or showing anger	not angry	_	_	_	_	_	_	no	affixal	un-	_	direct	_
animate	inanimate	a	animate%3:00:02::	inanimate%3:00:02::	belonging to the class of nouns that denote living beings	belonging to the class of nouns denoting nonliving things	no	affixal	in-	_	direct	_	no	affixal	in-	_	direct	_
animated	unanimated	a	animated%3:00:00::	unanimated%3:00:00::	having life or vigor or spirit	not animated or enlivened; dull	_	_	_	_	_	_	no	affixal	un-	_	direct	_
anionic	cationic	a	anionic%3:01:00::	cationic%3:01:00::	of or relating to anions	of or relating to cations	no	non-affixal	_	_	_	_	_	_	_	_	_	_
annual	biennial	a	annual%3:00:00::	biennial%3:00:00::	completing its life cycle within a year	having a life cycle lasting two seasons	no	non-affixal	_	_	_	_	_	_	_	_	_	_
annual	perennial	a	annual%3:00:00::	perennial%3:00:00::	completing its life cycle within a year	lasting three seasons or more	no	non-affixal	_	_	_	_	_	_	_	_	_	_
anodic	cathodic	a	anodic%3:01:00::	cathodic%3:01:00::	of or at or relating to an anode	of or at or pertaining to a cathode	_	_	_	_	_	_	no	non-affixal	_	_	_	_
anonymous	onymous	a	anonymous%3:00:00::	onymous%3:00:00::	having no known name or identity or known source	bearing a name	yes	affixal	ab-	_	direct	_	_	_	_	_	_	_
antecedent	subsequent	a	antecedent%3:00:00::	subsequent%3:00:00::	preceding in time or order	following in time or order	_	_	_	_	_	_	no	non-affixal	_	_	_	_
antemeridian	postmeridian	a	antemeridian%3:00:00::	postmeridian%3:00:00::	before noon	after noon	_	_	_	_	_	_	no	non-affixal	_	_	_	_
antemortem	postmortem	a	antemortem%3:00:00::	postmortem%3:00:00::	preceding death	occurring or done after death	no	non-affixal	_	_	_	_	_	_	_	_	_	_
anterior	posterior	a	anterior%3:00:00::	posterior%3:00:00::	of or near the head end or toward the front plane of a body	located at or near or behind a part or near the end of a structure	no	non-affixal	_	_	_	_	_	_	_	_	_	_
anti-American	pro-American	a	anti-american%3:01:00::	pro-american%3:01:00::	opposed to the United States and its policies	supporting the United States and its policies	_	_	_	_	_	_	no	non-affixal	_	_	_	_
anticlinal	synclinal	a	anticlinal%3:00:00::	synclinal%3:00:00::	sloping downward away from a common crest	sloping downward toward each other to create a trough	yes	affixal	anti-	syn-	indirect	ROD	no	non-affixal	_	_	_	_
antrorse	retrorse	a	antrorse%3:00:00::	retrorse%3:00:00::	bent or curved forward or upward	bent or curved backward or downward	no	non-affixal	_	_	_	_	_	_	_	_	_	_
aphrodisiac	anaphrodisiac	a	aphrodisiac%3:00:00::	anaphrodisiac%3:00:00::	exciting sexual desire	tending to diminish sexual desire	_	_	_	_	_	_	no	non-affixal	_	_	_	_
apocarpous	syncarpous	a	apocarpous%3:00:00::	syncarpous%3:00:00::	(of ovaries of flowering plants) consisting of carpels that are free from one another as in buttercups or roses	(of ovaries of flowering plants) consisting of united carpels	_	_	_	_	_	_	no	non-affixal	_	_	_	_
apocrine	eccrine	a	apocrine%3:00:00::	eccrine%3:00:00::	(of exocrine glands) producing a secretion in which part of the secreting cell is released with the secretion	(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell; important in regulating body temperature	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
apologetic	unapologetic	a	apologetic%3:00:00::	unapologetic%3:00:00::	offering or expressing apology	unwilling to make or express an apology	no	affixal	un-	_	direct	_	_	_	_	_	_	_
appealable	unappealable	a	appealable%3:00:00::	unappealable%3:00:00::	capable of being appealed especially to a higher tribunal	not subject to appeal	_	_	_	_	_	_	no	affixal	un-	_	direct	_
appealing	unappealing	a	appealing%3:00:00::	unappealing%3:00:00::	able to attract interest or draw favorable attention	not able to attract favorable attention	no	affixal	un-	_	direct	_	_	_	_	_	_	_
appendaged	unappendaged	a	appendaged%3:00:00::	unappendaged%3:00:00::	having an appendage	not having an appendage	no	affixal	un-	_	direct	_	_	_	_	_	_	_
appetizing	unappetizing	a	appetizing%3:00:00::	unappetizing%3:00:00::	appealing to or stimulating the appetite especially in appearance or aroma	not appetizing in appearance, aroma, or taste	no	affixal	un-	_	direct	_	_	_	_	_	_	_
