pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed	affixal/non-affixal	negative affix	positive affix	direct/indirect	subtype
roofed	roofless	a	roofed%3:00:00::	roofless%3:00:00::	covered with a roof; having a roof as specified (often used in combination)	not having a roof	no	affixal	-less	-ed	indirect	LAC
scented	scentless	a	scented%3:00:00::	scentless%3:00:00::	having the sense of smell	lacking the sense of smell	no	affixal	-less	-ed	indirect	LAC
skinned	skinless	a	skinned%3:00:00::	skinless%3:00:00::	having skin of a specified kind	having no skin	no	affixal	-less	-ed	indirect	LAC
sleeved	sleeveless	a	sleeved%3:00:00::	sleeveless%3:00:00::	made with sleeves or sleeves especially as specified; often used in combination	having no sleeves	no	affixal	-less	-ed	indirect	LAC
soled	soleless	a	soled%3:00:00::	soleless%3:00:00::	having a sole or soles especially as specified; used in combination	having no sole	no	affixal	-less	-ed	indirect	LAC
spirited	spiritless	a	spirited%3:00:00::	spiritless%3:00:00::	displaying animation, vigor, or liveliness	lacking ardor or vigor or energy	no	affixal	-less	-ed	indirect	LAC
stemmed	stemless	a	stemmed%3:00:00::	stemless%3:00:00::	having a stem or stems or having a stem as specified; often used in combination	not having a stem	no	affixal	-less	-ed	indirect	LAC
toed	toeless	a	toed%3:00:00::	toeless%3:00:00::	having a toe or toes of a specified kind; often used in combination	lacking a toe or toes	no	affixal	-less	-ed	indirect	LAC
toned	toneless	a	toned%3:00:00::	toneless%3:00:00::	having or distinguished by a tone; often used in combination	lacking in tone or expression	no	affixal	-less	-ed	indirect	LAC
tongued	tongueless	a	tongued%3:00:00::	tongueless%3:00:00::	provided with or resembling a tongue; often used in combination	lacking a tongue	no	affixal	-less	-ed	indirect	LAC
toothed	toothless	a	toothed%3:00:00::	toothless%3:00:00::	having teeth especially of a certain number or type; often used in combination	lacking teeth	no	affixal	-less	-ed	indirect	LAC
topped	topless	a	topped%3:00:00::	topless%3:00:00::	having a top of a specified character	having no top	no	affixal	-less	-ed	indirect	LAC
tubed	tubeless	a	tubed%3:00:00::	tubeless%3:00:00::	of a tire; having an inner tube	of a tire; not needing an inner tube	no	affixal	-less	-ed	indirect	LAC
wheeled	wheelless	a	wheeled%3:00:00::	wheelless%3:00:00::	having wheels; often used in combination	having no wheels or having no wheeled vehicles	no	affixal	-less	-ed	indirect	LAC
wigged	wigless	a	wigged%3:00:00::	wigless%3:00:00::	wearing a wig	not wearing a wig	no	affixal	-less	-ed	direct	
artlessness	artfulness	n	artlessness%1:07:00::	artfulness%1:07:00::	ingenuousness by virtue of being free from artful deceit	the quality of being adroit in taking unfair advantage	yes	affixal	-less	-ful	indirect	LAC
carefully	carelessly	r	carefully%4:02:02::	carelessly%4:02:00::	as if with kid gloves; with caution or prudence or tact	without caution or prudence	no	affixal	-less	-ful	indirect	LAC
carefulness	carelessness	n	carefulness%1:07:00::	carelessness%1:07:00::	the quality of being careful and painstaking	the quality of not being careful or taking pains	no	affixal	-less	-ful	indirect	LAC
cheerfulness	cheerlessness	n	cheerfulness%1:12:00::	cheerlessness%1:12:00::	a feeling of spontaneous good spirits	a feeling of dreary or pessimistic sadness	no	affixal	-less	-ful	indirect	LAC
colorful	colorless	a	colorful%3:00:03::	colorless%3:00:03::	striking in variety and interest	lacking in variety and interest	no	affixal	-less	-ful	indirect	LAC
colourful	colourless	a	colourful%3:00:03::	colourless%3:00:03::	striking in variety and interest	lacking in variety and interest	no	affixal	-less	-ful	indirect	LAC
effortlessness	effortfulness	n	effortlessness%1:07:00::	effortfulness%1:07:00::	the quality of requiring little effort	the quality of requiring deliberate effort	yes	affixal	-less	-ful	indirect	LAC
fearlessness	fearfulness	n	fearlessness%1:07:00::	fearfulness%1:07:00::	the trait of feeling no fear	the trait of being afraid	yes	affixal	-less	-ful	indirect	LAC
fearfully	fearlessly	r	fearfully%4:02:00::	fearlessly%4:02:00::	"in fear, ""she hurried down the stairs fearfully"""	without fear	no	affixal	-less	-ful	indirect	LAC
harmless	harmful	a	harmless%3:00:00::	harmful%3:00:00::	not causing or capable of causing harm	causing or capable of causing harm	yes	affixal	-less	-ful	indirect	LAC
harmfully	harmlessly	r	harmfully%4:02:00::	harmlessly%4:02:00::	in a detrimental manner	in a harmless manner	no	affixal	-less	-ful	indirect	LAC
heedfulness	heedlessness	n	heedfulness%1:07:00::	heedlessness%1:07:01::	the trait of staying aware of (paying close attention to) your responsibilities	the trait of forgetting or ignoring your responsibilities	no	affixal	-less	-ful	indirect	LAC
hopeful	hopeless	a	hopeful%3:00:00::	hopeless%3:00:00::	having or manifesting hope	without hope because there seems to be no possibility of comfort or success	no	affixal	-less	-ful	indirect	LAC
hopefully	hopelessly	r	hopefully%4:02:00::	hopelessly%4:02:00::	with hope; in a hopeful manner	without hope; desperate because there seems no possibility of comfort or success	no	affixal	-less	-ful	indirect	LAC
hopefulness	hopelessness	n	hopefulness%1:12:00::	hopelessness%1:12:00::	the feeling you have when you have hope	the despair you feel when you have abandoned hope of comfort or success	no	affixal	-less	-ful	indirect	LAC
joyfully	joylessly	r	joyfully%4:02:00::	joylessly%4:02:00::	in a joyous and gleeful manner	in a joyless manner; without joy	no	affixal	-less	-ful	indirect	LAC
meaningfulness	meaninglessness	n	meaningfulness%1:07:00::	meaninglessness%1:07:00::	the quality of having great value or significance	the quality of having no value or significance	no	affixal	-less	-ful	indirect	LAC
merciful	merciless	a	merciful%3:00:00::	merciless%3:00:00::	showing or giving mercy	having or showing no mercy	no	affixal	-less	-ful	indirect	LAC
mercifulness	mercilessness	n	mercifulness%1:07:00::	mercilessness%1:07:00::	a disposition to be kind and forgiving	inhumaneness evidenced by an unwillingness to be kind or forgiving	no	affixal	-less	-ful	indirect	LAC
painful	painless	a	painful%3:00:00::	painless%3:00:00::	causing physical or psychological pain	not causing physical or psychological pain	no	affixal	-less	-ful	indirect	LAC
painfully	painlessly	r	painfully%4:02:01::	painlessly%4:02:01::	in or as if in pain	without pain	no	affixal	-less	-ful	indirect	LAC
powerful	powerless	a	powerful%3:00:00::	powerless%3:00:00::	having great power or force or potency or effect	lacking power	no	affixal	-less	-ful	indirect	LAC
purposeful	purposeless	a	purposeful%3:00:00::	purposeless%3:00:00::	serving as or indicating the existence of a purpose or goal	not evidencing any purpose or goal	no	affixal	-less	-ful	indirect	LAC
tactful	tactless	a	tactful%3:00:00::	tactless%3:00:00::	having or showing a sense of what is fitting and considerate in dealing with others	lacking or showing a lack of what is fitting and considerate in dealing with others	no	affixal	-less	-ful	indirect	LAC
tactfully	tactlessly	r	tactfully%4:02:00::	tactlessly%4:02:00::	showing tact or tactfulness; in a tactful manner	without tact; in a tactless manner	no	affixal	-less	-ful	indirect	LAC
tasteful	tasteless	a	tasteful%3:00:02::	tasteless%3:00:02::	having or showing or conforming to good taste	lacking aesthetic or social taste	no	affixal	-less	-ful	indirect	LAC
tastefully	tastelessly	r	tastefully%4:02:00::	tastelessly%4:02:00::	with taste; in a tasteful manner	without taste or in poor taste; in a tasteless manner	no	affixal	-less	-ful	indirect	LAC
tastefulness	tastelessness	n	tastefulness%1:07:00::	tastelessness%1:07:01::	elegance indicated by good taste	inelegance indicated by a lack of good taste	no	affixal	-less	-ful	indirect	LAC
tearful	tearless	a	tearful%3:00:00::	tearless%3:00:00::	filled with or marked by tears	free from tears	no	affixal	-less	-ful	indirect	LAC
thoughtful	thoughtless	a	thoughtful%3:00:00::	thoughtless%3:00:00::	exhibiting or characterized by careful thought	showing lack of careful thought	no	affixal	-less	-ful	indirect	LAC
thoughtfully	thoughtlessly	r	thoughtfully%4:02:01::	thoughtlessly%4:02:01::	in a thoughtful manner	in a thoughtless manner	no	affixal	-less	-ful	indirect	LAC
thoughtfulness	thoughtlessness	n	thoughtfulness%1:07:01::	thoughtlessness%1:07:01::	kind and considerate regard for others	the quality of failing to be considerate of others	no	affixal	-less	-ful	indirect	LAC
useful	useless	a	useful%3:00:00::	useless%3:00:00::	being of use or service	having no beneficial use or incapable of functioning usefully	no	affixal	-less	-ful	indirect	LAC
usefully	uselessly	r	usefully%4:02:00::	uselessly%4:02:00::	in a useful manner	in a useless manner	no	affixal	-less	-ful	indirect	LAC
breathing	breathless	a	breathing%3:00:00::	breathless%3:00:00::	passing or able to pass air in and out of the lungs normally; sometimes used in combination	not breathing or able to breathe except with difficulty	no	affixal	-less	-ing	indirect	LAC
flowering	flowerless	a	flowering%3:00:00::	flowerless%3:00:00::	having a flower or bloom	without flower or bloom and not producing seeds	no	affixal	-less	-ing	indirect	LAC
stylish	styleless	a	stylish%3:00:00::	styleless%3:00:00::	having elegance or taste or refinement in manners or dress	lacking in style or elegance	no	affixal	-less	-ish	indirect	LAC
loamy	loamless	a	loamy%3:00:00::	loamless%3:00:00::	consisting of or having the character of loam	having no loam	no	affixal	-less	-ly	indirect	LAC
humorously	humorlessly	r	humorously%4:02:00::	humorlessly%4:02:00::	in a humorous manner	in a humorless manner	no	affixal	-less	-ous	indirect	LAC
joyous	joyless	a	joyous%3:00:00::	joyless%3:00:00::	full of or characterized by joy	not experiencing or inspiring joy	no	affixal	-less	-ous	indirect	LAC
spinous	spineless	a	spinous%3:00:00::	spineless%3:00:00::	having spines	lacking spiny processes	no	affixal	-less	-ous	indirect	LAC
bloody	bloodless	a	bloody%3:00:00::	bloodless%3:00:00::	having or covered with or accompanied by blood	free from blood or bloodshed	no	affixal	-less	-y	indirect	LAC
bony	boneless	a	bony%3:00:00::	boneless%3:00:00::	having bones especially many or prominent bones	being without a bone or bones	no	affixal	-less	-y	indirect	LAC
branchy	branchless	a	branchy%3:00:00::	branchless%3:00:00::	having many branches	having no branches	no	affixal	-less	-y	indirect	LAC
gutsiness	gutlessness	n	gutsiness%1:07:00::	gutlessness%1:07:00::	the trait of showing courage and determination in spite of possible loss or injury	the trait of lacking courage and determination; fearful of loss or injury	no	affixal	-less	-y	indirect	LAC
lossy	lossless	a	lossy%3:00:00::	lossless%3:00:00::	characterized by or causing dissipation of energy	characterized by or causing no dissipation of energy	no	affixal	-less	-y	indirect	LAC
seedy	seedless	a	seedy%3:00:00::	seedless%3:00:00::	full of seeds	lacking seeds	no	affixal	-less	-y	indirect	LAC
changeableness	changelessness	n	changeableness%1:07:00::	changelessness%1:07:00::	the quality of being changeable; having a marked tendency to change	the quality of being unchangeable; having a marked tendency to remain unchanged	no	affixal	-less		indirect	LAC
cheerfully	cheerlessly	r	cheerfully%4:02:00::	cheerlessly%4:02:00::	in a cheerful manner	in an unhappy manner	no	affixal	-less		indirect	LAC
moonlit	moonless	a	moonlit%3:00:00::	moonless%3:00:00::	lighted by moonlight	without a moon or a visible moon	no	affixal	-less		indirect	LAC
motion	motionlessness	n	motion%1:26:00::	motionlessness%1:26:00::	a state of change	a state of no motion or movement	no	affixal	-less		indirect	LAC
puncturable	punctureless	a	puncturable%3:00:00::	punctureless%3:00:00::	capable of being punctured	being without punctures or incapable of being punctured	no	affixal	-less		indirect	LAC
acatalectic	hypercatalectic	a	acatalectic%3:00:00::	hypercatalectic%3:00:00::	(verse) metrically complete; especially having the full number of syllables in the final metrical foot	(verse) having an extra syllable or syllables at the end of a metrically complete verse or in a metrical foot	both	affixal	a-	hyper-	indirect	LAC/OVA
carpellate	acarpelous	a	carpellate%3:00:00::	acarpelous%3:00:00::	bearing or consisting of carpels	having no carpels	no	affixal	a-		direct	
caulescent	acaulescent	a	caulescent%3:00:00::	acaulescent%3:00:00::	(of plants) producing a well-developed stem above ground	(of plants) having no apparent stem above ground	no	affixal	a-		direct	
chondritic	achondritic	a	chondritic%3:00:00::	achondritic%3:00:00::	having a granular structure like that of chondrites	not having a granular structure	no	affixal	a-		direct	
cyclic	acyclic	a	cyclic%3:00:03::	acyclic%3:00:01::	forming a whorl or having parts arranged in a whorl	not cyclic; especially having parts arranged in spirals rather than whorls	no	affixal	a-		direct	
gnostic	agnostic	a	gnostic%3:00:00::	agnostic%3:00:00::	possessing intellectual or esoteric knowledge of spiritual things	uncertain of all claims to knowledge	no	affixal	a-		direct	
periodic	aperiodic	a	periodic%3:00:00::	aperiodic%3:00:00::	happening or recurring at regular intervals	not recurring at regular intervals	no	affixal	a-		direct	
symmetry	asymmetry	n	symmetry%1:07:00::	asymmetry%1:07:00::	(mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane	(mathematics) a lack of symmetry	no	affixal	a-		direct	
synchronism	asynchronism	n	synchronism%1:24:00::	asynchronism%1:24:00::	the relation that exists when things occur at the same time	the relation that exists when things occur at unrelated times	no	affixal	a-		direct	
syndetic	asyndetic	a	syndetic%3:00:00::	asyndetic%3:00:00::	connected by a conjunction	lacking conjunctions	no	affixal	a-		direct	
tonality	atonality	n	tonality%1:10:00::	atonality%1:10:00::	any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music	the absence of a key; alternative to the diatonic system	no	affixal	a-		direct	
tonicity	atonicity	n	tonicity%1:26:00::	atonicity%1:26:00::	the elastic tension of living muscles, arteries, etc. that facilitate response to stimuli	lack of normal muscular tension or tonus	no	affixal	a-		direct	
typical	atypical	a	typical%3:00:00::	atypical%3:00:00::	exhibiting the qualities or characteristics that identify a group or kind or category	not representative of a group, class, or type	no	affixal	a-		direct	
typically	atypically	r	typically%4:02:00::	atypically%4:02:00::	in a typical manner	in a manner that is not typical	no	affixal	a-		direct	
zonal	azonal	a	zonal%3:00:00::	azonal%3:00:00::	associated with or divided into zones	not divided into zones	no	affixal	a-		direct	
normal	abnormal	a	normal%3:00:03::	abnormal%3:00:03::	being approximately average or within certain limits in e.g. intelligence and development	departing from the normal in e.g. intelligence and development	no	affixal	ab-		direct	
anonymous	onymous	a	anonymous%3:00:00::	onymous%3:00:00::	having no known name or identity or known source	bearing a name	yes	affixal	ab-		direct	
aphrodisia	anaphrodisia	n	aphrodisia%1:12:00::	anaphrodisia%1:12:00::	a desire for heterosexual intimacy	decline or absence of sexual desire	no	affixal	an-		indirect	LAC
anovulation	ovulation	n	anovulation%1:22:00::	ovulation%1:22:00::	the absence of ovulation due to immaturity or post-maturity or pregnancy or oral contraceptive pills or dysfunction of the ovary	the expulsion of an ovum from the ovary (usually midway in the menstrual cycle)	yes	affixal	an-		indirect	LAC
alphabetic	analphabetic	a	alphabetic%3:01:00::	analphabetic%3:01:00::	relating to or expressed by a writing system that uses an alphabet	relating to or expressed by a writing system that is not alphabetic	no	affixal	an-		direct	
estrous	anestrous	a	estrous%3:00:00::	anestrous%3:00:00::	(of lower mammals) showing or in a state of estrus; in heat	(of lower mammals) not in a state of estrus; not in heat	no	affixal	an-		direct	
hydrous	anhydrous	a	hydrous%3:00:00::	anhydrous%3:00:00::	containing combined water (especially water of crystallization as in a hydrate)	without water; especially without water of crystallization	no	affixal	an-		direct	
isotropic	anisotropic	a	isotropic%3:00:00::	anisotropic%3:00:00::	invariant with respect to direction	not invariant with respect to direction	no	affixal	an-		direct	
cholinergic	anticholinergic	a	cholinergic%3:00:00::	anticholinergic%3:00:00::	releasing or activated by acetylcholine or a related compound	inhibiting or blocking the action of acetylcholine at a receptor site	no	affixal	anti-		indirect	OPP
magnetic	antimagnetic	a	magnetic%3:00:00::	antimagnetic%3:00:00::	having the properties of a magnet; i.e. of attracting iron or steel	impervious to the effects of a magnetic field; resistant to magnetization	no	affixal	anti-		indirect	OPP
node	antinode	n	node%1:15:01::	antinode%1:15:00::	(physics) the point of minimum displacement in a periodic system	(physics) the point of maximum displacement in a periodic system	no	affixal	anti-		indirect	OPP
pyretic	antipyretic	a	pyretic%3:00:00::	antipyretic%3:00:00::	causing fever	preventing or alleviating fever	no	affixal	anti-		indirect	OPP
septic	antiseptic	a	septic%3:00:00::	antiseptic%3:00:00::	containing or resulting from disease-causing organisms	thoroughly clean and free of or destructive to disease-causing organisms	no	affixal	anti-		indirect	OPP
type	antitype	n	type%1:09:00::	antitype%1:09:02::	a subdivision of a particular kind of thing	an opposite or contrasting type	no	affixal	anti-		indirect	OPP
synonymous	antonymous	a	synonymous%3:00:00::	antonymous%3:00:00::	(of words) meaning the same or nearly the same	of words: having opposite meanings	no	affixal	anti-	syn-	indirect	OPP
anticlinal	synclinal	a	anticlinal%3:00:00::	synclinal%3:00:00::	sloping downward away from a common crest	sloping downward toward each other to create a trough	yes	affixal	anti-	syn-	indirect	ROD
indicate	contraindicate	v	indicate%2:32:04::	contraindicate%2:32:00::	suggest the necessity of an intervention; in medicine	make a treatment inadvisable	no	affixal	contra-		indirect	OPP
indication	contraindication	n	indication%1:10:02::	contraindication%1:10:00::	(medicine) a reason to prescribe a drug or perform a procedure	(medicine) a reason that makes it inadvisable to prescribe a particular drug or employ a particular procedure or treatment	no	affixal	contra-		indirect	OPP
ipsilateral	contralateral	a	ipsilateral%3:00:00::	contralateral%3:00:00::	on or relating to the same side (of the body)	on or relating to the opposite side (of the body)	no	affixal	contra-		indirect	OPP
factuality	counterfactuality	n	factuality%1:07:01::	counterfactuality%1:07:00::	the quality of being actual or based on fact	the quality of being contrary to fact	no	affixal	counter-		indirect	OPP
revolutionary	counterrevolutionary	a	revolutionary%3:00:00::	counterrevolutionary%3:00:00::	advocating or engaged in revolution	marked by opposition or antipathy to revolution	no	affixal	counter-		indirect	OPP
depreciate	appreciate	v	depreciate%2:30:01::	appreciate%2:30:01::	lower the value of something	increase the value of	yes	affixal	de-	a-	indirect	ROD
accelerate	decelerate	v	accelerate%2:30:01::	decelerate%2:30:01::	cause to move faster	reduce the speed of	no	affixal	de-	a-	indirect	ROD
appreciation	depreciation	n	appreciation%1:04:01::	depreciation%1:04:00::	an increase in price or value	a decrease in price or value	no	affixal	de-	a-	indirect	ROD
ascend	descend	v	ascend%2:38:02::	descend%2:38:00::	"travel up, ""We ascended the mountain"""	move downward and lower, but not necessarily all the way	no	affixal	de-	a-	indirect	ROD
ascending	descending	a	ascending%3:00:00::	descending%3:00:00::	moving or going or growing upward	coming down or downward	no	affixal	de-	a-	indirect	ROD
consecrated	desecrated	a	consecrated%3:00:00::	desecrated%3:00:00::	solemnly dedicated to or set apart for a high purpose	treated with contempt	no	affixal	de-	con-	indirect	ROA
enthrone	dethrone	v	enthrone%2:41:00::	dethrone%2:41:00::	put a monarch on the throne	remove a monarch from the throne	no	affixal	de-	en-	indirect	ROA
invigorating	debilitating	a	invigorating%3:00:00::	debilitating%3:00:00::	imparting strength and vitality	impairing the strength and vitality	no	affixal	de-	in-	indirect	RED
increased	decreased	a	increased%3:00:00::	decreased%3:00:00::	made greater in size or amount or degree	made less in size or amount or degree	no	affixal	de-	in-	indirect	ROD
inductive	deductive	a	inductive%3:00:00::	deductive%3:00:00::	of reasoning; proceeding from particular facts to a general conclusion	involving inferences from general principles	no	affixal	de-	in-	indirect	ROD
inflate	deflate	v	inflate%2:30:11::	deflate%2:30:11::	cause prices to rise by increasing the available currency or credit	produce deflation in	no	affixal	de-	in-	indirect	ROD
decrease	increase	v	decrease%2:30:01::	increase%2:30:02::	make smaller	make bigger or more	yes	affixal	de-	in-	indirect	ROD
deflation	inflation	n	deflation%1:22:00::	inflation%1:22:00::	a contraction of economic activity resulting in a decline of prices	a general and progressive increase in prices	yes	affixal	de-	in-	indirect	ROD
merit	demerit	n	merit%1:07:01::	demerit%1:07:00::	any admirable quality or attribute	the quality of being inadequate or falling short of perfection	no	affixal	de-		indirect	LAC
offense	defense	n	offense%1:14:00::	defense%1:14:01::	the team that has the ball (or puck) and is trying to score	(sports) the team that is trying to prevent the other team from scoring	no	affixal	de-		direct	
constructive	destructive	a	constructive%3:00:00::	destructive%3:00:00::	constructing or tending to construct or improve or promote development	causing destruction or much damage	no	affixal	de-		direct	
dejected	elated	a	dejected%3:00:00::	elated%3:00:00::	affected or marked by low spirits	exultantly proud and joyful; in high spirits	yes	affixal	de-		direct	
defensively	offensively	r	defensively%4:02:00::	offensively%4:02:00::	in a defensive manner	in an aggressive manner	no	affixal	de-		direct	
energise	de-energise	v	energise%2:29:00::	de-energise%2:29:00::	cause to be alert and energetic	deprive of energy	no	affixal	de-		indirect	REM
calcify	decalcify	v	calcify%2:30:02::	decalcify%2:30:00::	become impregnated with calcium salts	remove calcium or lime from	no	affixal	de-		indirect	REM
magnetise	demagnetise	v	magnetise%2:30:00::	demagnetise%2:30:00::	make magnetic	make nonmagnetic; take away the magnetic properties (of)	no	affixal	de-		indirect	REM
magnetize	demagnetize	v	magnetize%2:30:00::	demagnetize%2:30:00::	make magnetic	make nonmagnetic; take away the magnetic properties (of)	no	affixal	de-		indirect	REM
mystify	demystify	v	mystify%2:30:00::	demystify%2:30:00::	make mysterious	make less mysterious or remove the mystery from	no	affixal	de-		indirect	REM
mythologize	demythologize	v	mythologize%2:30:00::	demythologize%2:30:00::	make into a myth	remove the mythical element from (writings)	no	affixal	de-		indirect	REM
odorize	deodorize	v	odorize%2:39:00::	deodorize%2:39:00::	cause to smell or be smelly	eliminate the odor from	no	affixal	de-		indirect	REM
pigmentation	depigmentation	n	pigmentation%1:07:00::	depigmentation%1:07:00::	coloration of living tissues by pigment	absence or loss of pigmentation (or less than normal pigmentation) in the skin or hair	no	affixal	de-		indirect	REM
dehumanize	humanize	v	dehumanize%2:37:00::	humanize%2:37:00::	deprive of human qualities	make more humane	yes	affixal	de-		indirect	REM
de-ionate	ionate	v	de-ionate%2:30:00::	ionate%2:30:00::	remove ions from	add ions to	yes	affixal	de-		indirect	REM
denitrify	nitrify	v	denitrify%2:30:00::	nitrify%2:30:00::	remove nitrogen from	treat (soil) with nitrates	yes	affixal	de-		indirect	REM
deactivation	activation	n	deactivation%1:04:00::	activation%1:04:01::	the act of deactivating or making ineffective (as a bomb)	making active and effective (as a bomb)	yes	affixal	de-		indirect	ROA
decentralize	centralise	v	decentralize%2:30:00::	centralise%2:30:00::	make less central	make central	yes	affixal	de-		indirect	ROA
centralise	decentralise	v	centralise%2:30:00::	decentralise%2:30:00::	make central	make less central	no	affixal	de-		indirect	ROA
centralize	decentralize	v	centralize%2:30:00::	decentralize%2:30:00::	make central	make less central	no	affixal	de-		indirect	ROA
centralized	decentralized	a	centralized%3:00:00::	decentralized%3:00:00::	drawn toward a center or brought under the control of a central authority	withdrawn from a center or place of concentration; especially having power or function dispersed from a central to local authorities	no	affixal	de-		indirect	ROA
certify	decertify	v	certify%2:41:02::	decertify%2:41:00::	authorize officially	cause to be no longer approved or accepted	no	affixal	de-		indirect	ROA
classification	declassification	n	classification%1:04:01::	declassification%1:04:00::	restriction imposed by the government on documents or weapons that are available only to certain authorized people	reduction or removal by the government of restrictions on a classified document or weapon	no	affixal	de-		indirect	ROA
classify	declassify	v	classify%2:41:00::	declassify%2:41:00::	declare unavailable, as for security reasons	lift the restriction on and make available again	no	affixal	de-		indirect	ROA
colonize	decolonize	v	colonize%2:41:00::	decolonize%2:41:00::	settle as a colony; of countries in the developing world	grant independence to (a former colony)	no	affixal	de-		indirect	ROA
compress	decompress	v	compress%2:35:01::	decompress%2:35:00::	make more compact by or as if by pressing	restore to its uncompressed form	no	affixal	de-		indirect	ROA
compression	decompression	n	compression%1:04:01::	decompression%1:04:01::	encoding information while reducing the bandwidth or bits required	restoring compressed information to its normal form for use or display	no	affixal	de-		indirect	ROA
contamination	decontamination	n	contamination%1:04:00::	decontamination%1:04:00::	the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors	the removal of contaminants	no	affixal	de-		indirect	ROA
criminalization	decriminalization	n	criminalization%1:04:00::	decriminalization%1:04:00::	legislation that makes something illegal	legislation that makes something legal that was formerly illegal	no	affixal	de-		indirect	ROA
criminalize	decriminalize	v	criminalize%2:41:00::	decriminalize%2:41:00::	declare illegal; outlaw	make legal	no	affixal	de-		indirect	ROA
militarise	demilitarise	v	militarise%2:33:00::	demilitarise%2:33:00::	lend a military character to (a country), as by building up a military force	do away with the military organization and potential of	no	affixal	de-		indirect	ROA
mobilization	demobilization	n	mobilization%1:04:01::	demobilization%1:04:00::	"act of assembling and putting into readiness for war or other emergency: ""mobilization of the troops"""	act of changing from a war basis to a peace basis including disbanding or discharging troops	no	affixal	de-		indirect	ROA
